TIME(Hrs),Hole (Nos),Depth (m),Spacing(m),Burden (m),Stemming(m), Decking(m),Total Drill (RMT),Explosive(kg),Volume(m3),Powder Factor(kg/m3),Av. CPH,MCPD (kg/D),PPV MON,Seis. Dist. (m),A.O.P (dBL)
1.35PM,14,19,3.6,3.2,3,2/1m,380,2100,3064.32,0.68,150,300,2.16,395,118
1.19pm,25,"8.5,10",3.5,3,3,1m,238,1350,2499,0.54,54,54,6.73,280,122
1.08PM,17,15,3,3,4,1/1m,255,1335.3,2295,0.58,78.42,78.42,NA,NA,NA
1.18pm,30,9,3.5,3,3,1/1m,270,1575,2835,0.55,52.5,105,2.54,370,106
1.25pm,68,25,4,3.2,3,3/1m,1700,13386.67,21760,0.61,196.86,196.86,1.4,470,106
1.16PM,20,5,3,2.5,3,NILL,100,463.33,750,0.61,23.16,46.33,NA,NA,NA
1.20PM,32,18,4,3.5,3,2/1M,576,3250,8064,0.4,101.56,101.56,NA,NA,NA
1.15PM,49,"6,7",2,2,3,NILL,336,1125,1344,0.83,22.95,45.9,5.08,360,106
1.14PM,32,13.5,3.3,3.1,3,1/1m,432,2375,4419.36,0.53,74.21,148.43,1.65,390,100
1.14pm,25,"11.5,11.7",3.5,3,3,1m,287.5,1350,3018.75,0.44,54,108,0.88,440,106
1.08PM,20,12,3.5,3,3,1/1.5m,240,1250,2520,0.49,62.5,125,2.16,420,106
1.01PM,20,"9.2, 12.5",3.5,3,3,1/1m,233.5,1250,2451.75,0.5,62.5,125,2.92,480,106
1.21PM,13,25,4,3.5,3,"2/1.5m, 1/1m",325,1813.18,4550,0.39,139.52,270.05,2.16,600,106
1.27PM,37,6,3,2.8,3,NILL,222,950,1864.8,0.5,25.67,51.34,1.91,370,120
1.28PM,46,"13,14,15",3.8,3.4,3,2/1m,656,3700,8475.52,0.43,80.93,160.86,1.78,350,116
1.36PM,41,20,3.6,3.2,3,3/1m,820,5850,9446.4,0.61,142.68,285.36,2.41,390,124
1.13PM,60,"6,7,8,9,10",3,3,3,1/1m,436,2211.12,3924,0.56,36.83,73.7,2.54,410,118
1.27PM,33,6,3.2,2.8,2,NILL,198,925,1774.08,0.52,28.03,56.06,1.14,460,125
1.27PM,22,9,3,3,3,NILL,198,1250,2079,0.6,56.81,113.62,1.14,440,125
1.17PM,27,12,3.5,3,3,1/1m,324,1850,3402,0.53,68.51,137.02,1.27,570,126
1.06PM,46,7,3,2.5,3,NILL,322,1500,2415,0.62,32.6,65.2,5.84,350,106
1.20PM,36,11,3,3,3,1/1.5M,396,2050,3564,0.57,56.94,113.88,4.45,385,106
1.18PM,28,"5,6,7,12",2.5,3,3,1/1M,199.5,1050,1676.25,0.62,37.5,75,1.4,410,106
1.10PM,33,15,3.1,3.1,3,2/1M,495,2500,4756.95,0.5,75.75,151.51,NA,NA,NA
1.17PM,18,12,3.5,3,3,1/1.5M,216,1150,2268,0.5,63.88,63.88,1.78,430,127
1.09PM,38,"10,11,12",3.5,3,3,1/1M,424,2675,4452,0.6,70.39,140.78,15.2,320,124
1.11PM,33,"11,12",3.2,2.8,3,1/1M,391,2575,3503.36,0.73,78.03,156.06,9.14,340,116
1.10PM,42,7,3,2.8,3,NILL,294,1625,2469.6,0.65,38.69,77.38,2.03,380,106
1.16PM,36,7.5,3,2.8,3,NILL,270,1425,2268,0.62,39.58,79.16,12.6,310,120
1.04PM,40,"22,24",4,3,3,3/1M,896,6250,10752,0.58,156.25,312.5,10,320,126
1.04PM,50,7.5,3,2.8,3,NILL,375,1900,3150,0.6,38,76,6.6,360,116
1.12PM,8,5.5,3.5,3,2.5,NILL,44,200,462,0.43,25,50,NA,NA,NA
1.16PM,47,7.5,3,2.8,2.5,1/0.8M,352.5,1950,2961,0.65,41.48,82.96,NA,NA,NA
1.11PM,44,20,4,3,3,2/1M,880,6375,10560,0.6,144.88,144.88,1.27,360,120
1.11PM,27,9,3.5,3,3,NILL,243,1500,2551,0.58,55.55,111,15.6,280,125
1.10PM,36,"4,5,6",2.8,2.5,2.5,NILL,197.1,1050,1379.7,0.76,29.16,58.33,10.8,410,120
1.09PM,62,7,3.2,2.8,2.7,1/0.8m,434,2250,3888.64,0.57,36.29,72.5,3.68,390,106
1.10PM,59,7,3,2.8,3,NILL,413,2275,3469.2,0.65,38.55,77.1,6.22,340,106
5.07PM,56,7,3,2.8,2.6,1/0.8m,392,2183.34,3292.8,0.66,38.98,77.96,1.27,380,116
5.30PM,8,3,2,2,2.5,NILL,24,41.66,96,0.43,5.2,10.4,NA,450,NA
5.08PM,59,4.5,2.5,2,2.5,NILL,265.5,900,1327.5,0.67,15.25,30.5,5.97,360,134
1.32PM,42,"12, 13, 14",3.5,3,3,2/1.2m,556,3575,5838,0.61,85.11,170.22,1.02,430,120
1.19PM,49,9,3,3,3,1/0.8m,441,2650,3969,0.66,54.08,108.16,9.91,290,123
1.31PM,45,14,3.3,3.1,3,2/1m,630,4100,6444.9,0.63,91.11,182.22,2.54,410,116
1.05PM,123,10.5,3.5,3,3,1/1m,1291.5,7050,13560.75,0.51,57.31,114.62,4.32,420,106
1.32PM,41,25,4,3,3,4/1m,1025,7500,12300,0.6,182.92,182.92,7.37,370,129
1.06PM,92,"8, 9.5",3.2,2.8,3,NILL,844,3825,7562.24,0.54,44.82,89.64,4.45,380,112
1.08PM,36,"12, 13, 14, 15",3.5,3,3,1/1.5m,459,2550,4819.5,0.52,70.83,70.83,6.1,360,128
1.09PM,25,16,3.3,3.1,3,2/1`m,400,2525,4092,0.61,101,101,4.7,410,106
1.23PM,48,"25, 26",3.8,3.2,3,3/1m,1216,9000,14786.56,0.6,187.5,187.5,7.49,440,118
1.40PM,50,"20, 20.5",3.6,3.2,3,NILL,1011.6,5750,11653.63,0.49,115,230,3.3,420,129
1.37PM,88,6.5,3,2.8,3,NILL,572,2925,4804.8,0.6,33.23,66.46,10.7,340,125
1.38PM,30,"5, 7, 8, 9",3,2.8,3,NILL,207,900,1738.8,0.54,30,60,4.06,330,120
1.04PM,42,10,3,2.8,3,1/1m,420,2325,3528,0.65,55.35,110.71,2.41,530,106
1.30PM,24,9.5,3.5,3,2.5,1/1.5m,228,1250,2394,0.52,52,104,1.65,380,106
1.29PM,69,9.5,3,2.8,3,NILL,655.5,3250,5506.2,0.59,47.1,94.2,5.84,380,120
1.30PM,81,8.5,3,2.8,3,1/1m,688.5,3750,5783.4,0.64,46.29,92.58,1.65,360,106
1.55PM,262,"9, 12",1,0.6,2.5,NILL,2882,15720,60500,0.25,60,540,NA,NA,NA
1.30PM,24,11,3,3,3,1/1m,264,1513.9,2376,0.63,63.07,63.07,5.84,205,122
1.37PM,42,"13.5,16.5",3.3,3.1,2.8,NILL,651,3325,6659.73,0.49,79.16,158.33,1.27,380,106
1.19PM,107,"7, 7.5",3,2.8,3,NILL,779.5,4425,6547.8,0.67,41.35,82.7,15.7,310,110
1.21PM,31,6,3.3,2.8,2.8,NILL,186,775,1718.64,0.45,25,50,1.78,340,126
1.10PM,34,"11,12",3.5,3,3,1/1m,381,2050,4000,0.51,60.29,120.5,NA,NA,NA
1.12PM,28,"7,7.5",3.2,2.5,2.8,NILL,197.5,991.68,1580,0.62,35.41,70.82,NA,NA,NA
1.15PM,50,7,3.2,3,3,NILL,350,1925,3360,0.57,38.5,77,NA,NA,NA
1.20PM,29,"4,6",2.8,2.5,3,NILL,162,500,1134,0.44,17.24,34.48,NA,NA,NA
1.21PM,56,"12,13,15",3.5,3,3,"1/1.5m, 2/1m",698,3900,7329,0.53,69.64,139.28,4.57,390,116
1.14PM,70,"6,7",3,2.5,3,NILL,480,2500,3600,0.69,35.71,71.42,17.8,340,127
1.21PM,37,"9,12",3.5,3,3,1/1m,417,2600,4378.5,0.59,69.81,139.63,3.81,410,120
1.16PM,40,"5,7",3.2,2.8,3,NILL,264,1375,2365.44,0.58,34.37,68.75,7.11,310,123
1.05PM,18,"9,10",3,3,3,1/1m,168,925,1512,0.61,51.38,102.76,NA,660,NA
1.42PM,61,20.5,3.5,3.3,3,2/1m,1250.5,7775,14443.275,0.53,127.45,254.9,4.32,410,124
1.29PM,110,"7,8",2.8,3.1,3,NILL,700,4400,6944,0.63,40,80,12.7,340,129
1.10PM,18,"10,11",3,3,3,1/1m,188,900,1692,0.53,50,100,NA,660,NILL
1.32PM,45,25,3.8,3.2,3,1/3M,1125,7450,13680,0.54,165.55,331.11,7.11,390,130
1.12PM,57,"11,12",3.2,2.8,3,1/1M,662,3300,5931.52,0.55,57.89,115.78,4.95,410,122
1.11PM,90,"5,6,9,7",3.2,2.8,2.8,NILL,722,2650,6469.12,0.4,29.44,58.88,11.6,280,126
1.17PM,29,"20,25",3.8,3.2,3,3/1M,675,3550,8208,0.43,122.41,122.41,2.54,450,112
1.16PM,29,"4,10",2.8,2.8,2.5,1/1m,218,975,1764,0.55,33.62,67.24,1.52,440,118
1.10PM,27,10,3.5,3,3,1/1m,270,1500,2835,0.52,55.55,111.1,6.48,260,124
1.20PM,16,"6.5,8.5",3,2.8,3,1/1M,128,500,1075.2,0.46,31.25,62.5,NA,460,NA
1.20PM,17,5,2.8,2.5,3,NILL,85,300,595,0.5,17.64,35.28,NA,480,NA
1.25PM,45,1`0.5,3.2,2.5,3,1/1m,472.5,2735.42,3780,0.72,54.21,108.42,NA,NA,NA
1.04PM,20,12,3.5,3,3,2/1m,240,1250,2520,0.49,62.5,125,2.16,420,106
1.12PM,20,11.675,3.5,3,3,NILL,233.5,1250,2451.75,0.5,62.5,125,2.92,480,106
1.16PM,13,25,4,3.5,3,2/1m,325,1813.18,4550,0.39,139.52,270.05,2.16,600,106
1.11PM,37,6,3,2.8,3,NILL,222,950,1864.8,0.5,25.67,51.34,1.91,370,120
1.11PM,46,14.26086957,3.8,3.4,3,1/1m,656,3700,8475.52,0.43,80.93,160.86,1.78,350,116
1.10PM,41,20,3.6,3.2,3,NILL,820,5850,9446.4,0.61,142.68,285.36,2.41,390,124
1.09PM,60,7.266666667,3,3,3,NILL,436,2211.12,3924,0.56,36.83,73.7,2.54,410,118
1.10PM,33,6,3.2,2.8,2,NILL,198,925,1774.08,0.52,28.03,56.06,1.14,460,125
5.07PM,22,9,3,3,3,1/1m,198,1250,2079,0.6,56.81,113.62,1.14,440,125
5.30PM,27,12,3.5,3,3,1/1m,324,1850,3402,0.53,68.51,137.02,1.27,570,126
5.08PM,46,7,3,2.5,3,1/1m,322,1500,2415,0.62,32.6,65.2,5.84,350,106
1.32PM,36,11,3,3,3,1/1m,396,2050,3564,0.57,56.94,113.88,4.45,385,106
1.19PM,28,7.125,3.5,3.5,3,NILL,199.5,1050,1676.25,0.62,37.5,75,1.4,410,106
1.31PM,33,15,3.1,3.1,3,1/0.8m,495,2500,4756.95,0.5,75.75,151.51,NA,NA,NA
1.05PM,18,12,3.5,3,3,NILL,216,1150,2268,0.5,63.88,63.88,1.78,430,127
1.32PM,38,11.15789474,3.5,3,3,1/1M,424,2675,4452,0.6,70.39,140.78,15.2,320,124
1.06PM,33,11.84848485,3.2,2.8,3,2/1.5M,391,2575,3503.36,0.73,78.03,156.06,9.14,340,116
1.08PM,42,7,3,2.8,3,2/1.5M,294,1625,2469.6,0.65,38.69,77.38,2.03,380,106
1.04PM,36,7.5,3,2.8,3,NILL,270,1425,2268,0.62,39.58,79.16,12.6,310,120
1.04PM,40,22.4,4,3,3,2/1M,896,6250,10752,0.58,156.25,312.5,10,320,126
1.12PM,50,7.5,3,2.8,3,2/1M,375,1900,3150,0.6,38,76,6.6,360,116
1.16PM,8,5.5,3.5,3,2.5,3/1M,44,200,462,0.43,25,50,NA,NA,NA
1.11PM,47,7.5,3,2.8,2.5,2/1M,352.5,1950,2961,0.65,41.48,82.96,NA,NA,NA
1.11PM,44,20,4,3,3,1/1.5M,880,6375,10560,0.6,144.88,144.88,1.27,360,120
1.10PM,27,9,3.5,3,3,1/1M,243,1500,2551,0.58,55.55,111,15.6,280,125
1.09PM,36,5.475,2.8,2.5,2.5,2/1M,197.1,1050,1379.7,0.76,29.16,58.33,10.8,410,120
1.10PM,62,7,3.2,2.8,2.7,2/1M,434,2250,3888.64,0.57,36.29,72.5,3.68,390,106
5.07PM,59,7,3,2.8,3,2/1.5M,413,2275,3469.2,0.65,38.55,77.1,6.22,340,106
5.30PM,56,7,3,2.8,2.6,1/0.8M,392,2183.34,3292.8,0.66,38.98,77.96,1.27,380,116
5.08PM,8,3,2,2,2.5,NILL,24,41.66,96,0.43,5.2,10.4,NA,450,NA
1.32PM,59,4.5,2.5,2,2.5,NILL,265.5,900,1327.5,0.67,15.25,30.5,5.97,360,134
1.19PM,42,13.23809524,3.5,3,3,NILL,556,3575,5838,0.61,85.11,170.22,1.02,430,120
1.31PM,49,9,3,3,3,NILL,441,2650,3969,0.66,54.08,108.16,9.91,290,123
1.05PM,45,14,3.3,3.1,3,2/1M,630,4100,6444.9,0.63,91.11,182.22,2.54,410,116
1.32PM,123,10.5,3.5,3,3,NILL,1291.5,7050,13560.75,0.51,57.31,114.62,4.32,420,106
1.06PM,41,25,4,3,3,NILL,1025,7500,12300,0.6,182.92,182.92,7.37,370,129
1.08PM,92,9.173913043,3.2,2.8,3,3/1M,844,3825,7562.24,0.54,44.82,89.64,4.45,380,112
1.04PM,36,12.75,3.5,3,3,1/0.5M,459,2550,4819.5,0.52,70.83,70.83,6.1,360,128
1.04PM,25,16,3.3,3.1,3,2/1M,400,2525,4092,0.61,101,101,4.7,410,106
1.12PM,48,25.33333333,3.8,3.2,3,2/1.5M,1216,9000,14786.56,0.6,187.5,187.5,7.49,440,118
1.16PM,50,20.232,3.6,3.2,3,1/0.8M,1011.6,5750,11653.63,0.49,115,230,3.3,420,129
1.11PM,88,6.5,3,2.8,3,NILL,572,2925,4804.8,0.6,33.23,66.46,10.7,340,125
1.11PM,30,6.9,3,2.8,3,NILL,207,900,1738.8,0.54,30,60,4.06,330,120
1.10PM,42,10,3,2.8,3,NILL,420,2325,3528,0.65,55.35,110.71,2.41,530,106
1.09PM,24,9.5,3.5,3,2.5,NILL,228,1250,2394,0.52,52,104,1.65,380,106
1.10PM,69,9.5,3,2.8,3,2/1M,655.5,3250,5506.2,0.59,47.1,94.2,5.84,380,120
5.07PM,81,8.5,3,2.8,3,NILL,688.5,3750,5783.4,0.64,46.29,92.58,1.65,360,106
5.30PM,262,11,1,0.6,2.5,NILL,2882,15720,60500,0.25,60,540,NA,NA,NA
5.08PM,24,11,3,3,3,3/1M,264,1513.9,2376,0.63,63.07,63.07,5.84,205,122
1.32PM,42,15.5,3.3,3.1,2.8,1/0.5M,651,3325,6659.73,0.49,79.16,158.33,1.27,380,106
1.19PM,107,7.285046729,3,2.8,3,2/1M,779.5,4425,6547.8,0.67,41.35,82.7,15.7,310,110
1.31PM,31,6,3.3,2.8,2.8,2/1.5M,186,775,1718.64,0.45,25,50,1.78,340,126
1.05PM,34,11.20588235,3.5,3,3,1/0.8M,381,2050,4000,0.51,60.29,120.5,NA,NA,NA
1.32PM,28,7.053571429,3.2,2.5,2.8,NILL,197.5,991.68,1580,0.62,35.41,70.82,NA,NA,NA
1.06PM,50,7,3.2,3,3,NILL,350,1925,3360,0.57,38.5,77,NA,NA,NA
1.08PM,29,5.586206897,2.8,2.5,3,NILL,162,500,1134,0.44,17.24,34.48,NA,NA,NA
1.04PM,56,12.46428571,3.5,3,3,NILL,698,3900,7329,0.53,69.64,139.28,4.57,390,116
1.04PM,70,6.857142857,3,2.5,3,2/1M,480,2500,3600,0.69,35.71,71.42,17.8,340,127
1.12PM,37,11.27027027,3.5,3,3,NILL,417,2600,4378.5,0.59,69.81,139.63,3.81,410,120
1.16PM,40,6.6,3.2,2.8,3,NILL,264,1375,2365.44,0.58,34.37,68.75,7.11,310,123
1.11PM,18,9.333333333,3,3,3,3/1M,168,925,1512,0.61,51.38,102.76,NA,660,NA
1.11PM,61,20.5,3.5,3.3,3,1/0.5M,1250.5,7775,14443.275,0.53,127.45,254.9,4.32,410,124
1.10PM,110,6.363636364,2.8,3.1,3,2/1M,700,4400,6944,0.63,40,80,12.7,340,129
1.09PM,18,10.44444444,3,3,3,2/1.5M,188,900,1692,0.53,50,100,NA,660,NILL
1.10PM,45,25,3.8,3.2,3,1/0.8M,1125,7450,13680,0.54,165.55,331.11,7.11,390,130
5.07PM,57,11.61403509,3.2,2.8,3,NILL,662,3300,5931.52,0.55,57.89,115.78,4.95,410,122
5.30PM,90,8.022222222,3.2,2.8,2.8,NILL,722,2650,6469.12,0.4,29.44,58.88,11.6,280,126
5.08PM,29,23.27586207,3.8,3.2,3,NILL,675,3550,8208,0.43,122.41,122.41,2.54,450,112
1.32PM,29,7.517241379,3,3,2.5,NILL,218,975,1764,0.55,33.62,67.24,1.52,440,118
1.19PM,27,10,3.5,3,3,2/1M,270,1500,2835,0.52,55.55,111.1,6.48,260,124
1.15PM,28,14,3.5,3,3,3/1M,392,3300.701053,4116,0.45,66.96,133.92,NA,NA,NA
1.35PM,40,"6.5,7",3,3,2.5,1/0.5M,263.5,3355.688391,2371.5,0.52,31.25,62.5,NA,NA,NA
1.20PM,35,19,4,3,3,2/1M,665,3410.675729,7890,0.53,122.85,245.7,NA,NA,NA
1.18PM,75,8,3,3,3,2/1.5M,600,3465.663068,5400,0.55,40,80,NA,NA,NA
1.05PM,33,"10,13",3,3,3,1/0.8M,393,3520.650406,3537,0.6,64.39,128.78,NA,NA,NA
1.07PM,39,5,3,3,3,NILL,195,3575.637744,1755,0.37,16.66,33.33,NA,NA,NA
1.10PM,46,7.6,3.5,3,3,NILL,349.6,3630.625083,3915.52,0.52,45.1,90.2,NA,NA,NA
1.07PM,52,"9,6",3,3,3,NILL,387,3685.612421,3483,0.55,37.01,74.03,400,0.889,NA
1.08PM,30,"10,11",3,3,3,NILL,310,3740.599759,2790,0.56,52.5,105,430,3.3,NA
1.03PM,45,9,3,2.5,3,2/1M,405,3795.587098,3075.5,0.57,38.88,77.77,400,2.16,NA
1.10PM,19,12,3.5,3,3,3/1M,228,3850.574436,2394,0.69,88.15,176.3,450,1.14,NA
1.22PM,30,11,3,3,3,1/0.5M,330,3905.561774,2970,0.63,62.5,125,430,1.78,NA
1.29PM,18,8,3,2.5,3,2/1M,144,3960.549113,1080,0.69,41.66,83.22,410,1.65,NA
1.28PM,41,"8.5,10.5",3,3,3,2/1.5M,360.5,4015.536451,3244.5,0.67,53.65,107.3,340,8.26,NA
1.28PM,44,6,3,2.6,3,1/0.8M,264,4070.523789,2059.2,0.6,28.4,56.8,360,8.26,NA
1.40PM,61,"9,10,11",3.1,2.8,3,NILL,625,4125.511128,5425,0.64,57.37,114.75,380,9.4,NA
2.14PM,36,19,3.6,3.2,3,NILL,684,4180.498466,7879.68,0.68,150,300,380,7.11,NA
2.13PM,22,24,4,3.3,3,NILL,528,4235.485805,6969.6,0.63,200,400,410,5.46,NA
1.16PM,30,9,3.5,3,3,NILL,270,4290.473143,2835,0.59,56.66,113.33,530,2.03,NA
1.11PM,54,14,3.5,3,3,2/1M,756,4345.460481,7938,0.5,75,150,400,2.41,NA
1.15PM,30,20,3.6,3.2,3,3/1M,600,4400.44782,6912,0.67,156.66,313.32,400,4.06,NA
1.33PM,90,"20,23",4.2,3.2,3,1/0.5M,1815,4455.435158,24393,0.52,142.77,285.55,300,7.87,NA
1.29PM,51,"13,14",3.2,3,3,2/1M,702,4510.422496,6739.2,0.46,61.76,123.52,370,8.51,NA
1.13PM,35,"12.5,15",3.6,3.2,3,2/1.5M,490,4565.409835,5644.8,0.51,75,150,460,1.52,NA
1.13PM,61,"12,13",3.6,3.2,3,1/0.8M,774,4620.397173,8916.48,0.5,74.18,148.36,390,13.3,NA
1.13PM,40,"13,14",3.6,3.2,3,NILL,532,4675.384511,6128.64,0.57,87.5,175,380,7.75,NA
1.17PM,38,"20,21,22",3.6,3.2,3,NILL,805,4730.37185,9273.6,0.57,140.13,280.26,370,6.35,NA
1.12PM,25,"26,30",3.8,3.3,3,NILL,674,4785.359188,8451.96,0.59,205,410,450,7.11,NA
1.10PM,54,"8,9",3,2.5,3,NILL,472,4840.346526,3540,0.64,42.12,84.25,620,NA,NA
1.12PM,21,"4.5,5",3,3,2.8,2/1M,95.5,4895.333865,859.5,0.49,20.23,40.47,600,NA,NA
1.14PM,43,"2,3,4,6,7,8",3,2.8,2.8,3/1M,233,4950.321203,1957.2,0.35,16.27,32.55,580,NA,NA
1.46PM,34,9,3,3,3,1/0.5M,306,5005.308541,2754,0.56,45.9,91.8,430,1.14,NA
1.47PM,23,8,3.5,3,3,2/1M,184,5060.29588,1932,0.45,38.04,76.08,400,1.02,NA
1.16PM,20,15,3.6,3.2,3,2/1.5M,300,5115.283218,3456,0.54,93.75,187.5,450,1.52,NA
1.06PM,16,"4,5",2.5,2.5,2.8,1/0.8M,64,5170.270556,400,0.37,9.41,18.82,240,3.18,NA
1.09PM,131,"6,7,8,9",3.2,2.8,3,NILL,826,5225.257895,5465,0.53,22.13,44.27,590,1.14,NA
1.36PM,33,"21,22,23",3.8,3.2,3,NILL,714714.78,5280.245233,8691.72,0.63,166.66,166.66,510,7.49,NA
1.10PM,27,7.5,3.5,3,3,NILL,202.5,5335.232571,2126.25,0.52,41.66,83.32,510,0.762,NA
1.34PM,87,"14,15.5",3.6,3.2,3,NILL,1312.5,5390.21991,15120,0.5,87.35,174.7,390,5.08,NA
1.06PM,47,"8,10,12,14",3.75,3.25,3,2/1M,586,5445.207248,7141.8,0.48,73.4,146.8,440,1.27,NA
1.06PM,20,15,3.75,3.25,3,3/1M,300,5500.194586,3656.25,0.49,90,180,470,1.27,NA
1.16PM,21,15,3.6,3.2,3,1/0.5M,315,5555.181925,3402,0.63,102.34,204.76,470,0.508,NA
1.10PM,31,5,2.8,2.5,2.8,2/1M,155,5610.169263,1085,0.57,20.16,40.32,410,3.43,NA
1.04PM,58,"8.3,10",3,3,3,2/1.5M,506.9,5665.156602,4562.1,0.47,37.5,75,470,5.21,NA
1.17PM,33,"19,21",3.6,3.2,3,1/0.8M,685,5720.14394,7891.2,0.55,132.57,265.14,430,6.35,NA
1.38PM,53,"14,16",3.5,3,3,NILL,782,5775.131278,8211,0.6,94.34,188.68,480,3.81,NA
1.39PM,43,"14,15",3.6,3.2,3,NILL,628,5830.118617,7234.56,0.49,83.72,167.44,380,2.54,NA
1.40PM,53,"21,22",3.6,3.2,3,NILL,1149.04,5885.105955,13236.94,0.54,136.32,272.64,360,7.75,NA
1.37PM,44,"6,7,9",3.5,3,2.8,NILL,306,5940.093293,3213,0.52,38.63,77.27,510,3.56,NA
1.40PM,19,10,4,4,3,2/1M,190,5995.080632,2280,0.48,58.38,116.76,330,7.75,NA
1.12PM,27,"9.5,10",3.5,3,3,3/1M,259.5,6050.06797,2724.75,0.46,47.22,94.44,530,1.78,NA
1.16PM,43,"5,6.5",3,2.5,3,1/0.5M,228.5,6105.055308,1713.75,0.53,21.51,43.02,430,0.635,NA
1.11PM,38,8,3,2.5,3,2/1M,304,6160.042647,2280,0.61,36.84,73.68,370,4.7,NA
1.10PM,14,"9,10",3.5,3,3,2/1.5M,132,6215.029985,1386,0.54,53.37,53.37,NA,NA,NA
1.12PM,23,15,3.2,3,3,1/0.8M,345,6270.017323,3312,0.68,98.91,197.82,NA,NA,NA
1.15PM,30,"8.5,10",3.5,3,3,NILL,276,6325.004662,2898,0.55,53.33,106.6,430,2.79,NA
5.35PM,40,24.5,3.8,3,3,NILL,980,6379.992,11172,0.59,167.5,167.5,310,5.08,NA
5.34PM,34,"17,18",3.6,3.2,3,NILL,588,6434.979338,6773.76,0.63,125.73,251.46,360,5.72,NA
1.21PM,34,"17,18,19",3.6,3.2,3,NILL,575,6489.966677,6624,0.57,112.5,225,410,3.18,NA
1.10PM,37,"5,6",3,2.5,3,2/1M,199,6544.954015,1492.5,0.5,20.27,40.54,450,0.635,NA
1.16PM,23,12,3.2,3,3,3/1M,276,6599.941353,2649.6,0.66,76.08,152.16,350,3.18,NA
5.5PM,36,6,3,3,3,1/0.5M,216,6654.928692,1944,0.52,28.47,56.94,420,1.4,NA
1.17PM,36,"12,15",3.6,3.2,3,2/1M,513,6709.91603,5910,0.53,89.58,179.16,150,27.4,NA
4.57PM,19,12,4,3,3,2/1.5M,228,6764.903368,2736,0.45,65.78,131.56,330,3.18,NA
5.4PM,34,"5,7",3.2,2.5,3,1/0.8M,220,6819.890707,1737,0.6,30.88,30.88,350,1.14,NA
1.15PM,54,9,3,3,3,NILL,486,6874.878045,4374,0.53,43.05,86.1,200,2.79,NA
5.00PM,21,25,4,3.5,3,NILL,525,6929.865383,7350,0.44,157.14,314.28,340,5.72,NA
4.59PM,23,20,3.6,3.2,3,NILL,460,6984.852722,5299.2,0.59,136.95,273.9,380,1.27,NA
5.24PM,20,20,3.6,3.2,3,NILL,400,7039.84006,4608,0.54,125,250,300,3.94,NA
4.49PM,53,15,3.6,3.2,3,2/1M,795,7094.827398,9158.4,0.54,93.39,186.78,400,3.18,NA
5.21PM,45,"9,10",3.5,3,3,3/1M,426,7149.814737,4473,0.58,58.33,116.66,280,9.4,NA
5.23PM,24,8,3.5,3,3,1/0.5M,192,7204.802075,2016,0.62,52.08,104.16,230,13.7,NA
5.23PM,9,5,2.8,2.5,3,2/1M,45,7259.789414,315,0.39,13.88,13.88,235,13.7,NA
