TIME(Hrs),Hole (Nos),Depth (m),Spacing(m),Burden (m),Stemming(m), Decking(m),Total Drill (RMT),Explosive(kg),Volume(m3),Powder Factor(kg/m3),Av. CPH,MCPD (kg/D),PPV MON,Seis. Dist. (m),A.O.P (dBL)
1.25PM,51,6 to 11,3.3,3,3,1/1m,462,2700,4851,0.55,52.92,105.88,1.01,330,116.5
5.40PM,100,"7,10,13",3.5,3,3,1/1m,982,5275,10311,0.51,52.75,105.5,3.37,350,115
1.17PM,35,11,3,3,3,1/1.5m,385,1950,3465,0.56,55.71,111.42,0.77,380,106.3
1.21PM,37,12,4,3,3,2/1m,444,2275,5328,0.42,61.48,122.96,0.706,430,92.7
1.11PM,32,9,3,2.5,3,1/1.5m,288,1200,2160,0.55,37.5,75,1.53,390,119.4
1.11PM,40,4.5,3,2.5,2.8,NILL,180,625,1350,0.46,15.62,31.24,2.69,390,113.5
1.17PM,75,"4,5,7.5,9,12",3.2,2.8,3,NILL,535,2200,4793.6,0.45,29.33,29.33,0.96,430,82.5
1.12PM,33,"10,11",3,3,3,1/1m,352,1950,3168,0.61,59.09,118.18,2.09,320,111.2
1.10PM,32,6,3,3,3,NILL,192,900,1728,0.52,28.12,28.12,1.93,380,107.7
1.11PM,14,"7,8",1,0.9,3,NILL,105,168.98,94.5,1.79,12.07,24.14,1.23,280,120
1.11PM,20,4,3,3,3,NILL,80,166.8,720,0.23,8.34,16.68,1.23,280,120
1.13PM,48,15,3.5,3,3,2/1m,720,3570,7560,0.49,78.13,156.26,2.85,380,116.5
1.10PM,24,6,3.2,2.8,3,NILL,144,675,1290.24,0.52,28.105,56.25,1.09,370,97.2
1.10PM,58,"6,8,9,11,13",3.5,3,3,1/1m,572,2800,5985,0.46,48.27,96.54,1.09,370,97.2
1.05PM,45,8.5,3,3,3,1/1m,382.5,1875,3442.5,0.54,41.6,41.6,2.07,300,93.8
1.17PM,46,15,3.25,3,3,2/1.5m,690,3580,6727.5,0.53,77.84,155.68,1.94,300,110
1.09PM,41,10.5,3,3,3,1/1.5m,462,2050,3874,0.52,50.4,100.8,2.2,355,116.8
1`.07PM,49,8,3.5,3,3,1/1m,392,1925,4116,0.47,39.29,78.57,1.63,350,110
1.11PM,59,"12,14",3.6,3.2,3,1/1M,768,3675,8847.36,0.41,62.29,62.29,2.55,350,107.4
1.08PM,40,7,3,3,3.5,NILL,280,1250,2520,0.49,31.25,62.5,3.45,280,118.9
1.34PM,20,10,3,3,3,NILL,200,1080,1800,0.6,54,108,0.722,390,111.7
1.28PM,50,"4,5,6",3,3,3,NILL,260,1135,2340,0.48,22.07,45.4,0.548,429,108.3
1.17PM,24,8.5,3,3,3,NILL,204,900,1836,0.48,37.5,37.5,3.69,280,125.1
1.35PM,32,"6,7,9",3,3,3,NILL,221,1200,2016,0.59,37.5,75,0.786,380,119.6
1.19PM,150,"10,13",3.2,2.8,2.5,NILL,1767,7825,15832.32,0.49,52.16,104.32,5.97,380,126
1.16PM,56,15,3.2,3.2,3,2/1m,840,5500,11289,0.48,98.21,196.4,4.83,340,100
1.03PM,44,6,3,3,3,NILL,264,1200,2376,0.5,25.02,25.02,1.14,360,100
108PM,41,7,3,3,3,NILL,287,1375,2583,0.53,33.54,33.54,1.52,350,100
1.09PM,32,12,3,3,3,1/1.5m,384,1872,3456,0.54,58.506,116.012,1.65,350,100
1.06PM,45,14,3.5,3,3.5,2/1m,630,3675,6615,0.5,81.66,163.32,2.29,410,112
1.11PM,44,4,3.5,3,3,NILL,176,325,1848,0.17,7.38,14.77,1.4,320,117
1.04PM,94,2,3,2.5,1.7,NILL,188,261.32,1410,0.18,2.78,5.56,0.5,309,106
1.06PM,40,15,3.5,3,3,2/1m,600,3336,6300,0.52,83.4,166.8,1.78,410,100
1.26PM,93,"8,10,12",3.5,3,2.5,1/1m,953,5625,10006.5,0.56,60.48,120.96,3.43,450,100
5.18PM,58,15,3.5,3,3,2/1m,870,5500,9135,0.6,94.82,189.64,1.65,390,120
1.13PM,23,4,3,3,3,NILL,92,375,828,0.45,16.3,32.6,1.02,390,100
1.07PM,30,8.5 to 9,3,3,3.5,1/1m,262.5,1400,2362.5,0.59,46.66,46.66,0.76,460,116
1.12PM,30,"6,9",3.5,3,3,NILL,222,950,2331,0.4,31.66,63.33,2.54,380,112
1.22PM,24,"7,12,13",3.5,3,3,1/1.5m,281,1450,2950.5,0.49,60.41,120.82,1.27,380,100
1.53PM,115,15,3.6,3.2,2.5,2/1m,1725,9475,19872,0.47,82.39,164.78,7.24,280,126
1.32PM,44,6,3,3,3,NILL,264,1111.12,2376,0.46,25.25,25.25,0.889,380,100
1.35PM,9,9,3,2.5,3,1/1m,81,325,607.5,0.53,36.11,72.22,NA,430,NA
1.37PM,28,10,3,3,3,1/1m,280,1400,2520,0.55,50.04,100.08,0.762,410,100
1.42PM,50,"5,8",3,3,3,NILL,370,1350,3330,0.4,27,54,6.6,250,123
1.09PM,50,15,3.6,3.2,2.5,2/1m,750,4500,8640,0.52,90,90,1.36,390,129.2
1.04PM,30,5,3,3,3,NILL,150,575,1350,0.42,19.16,38.33,1.42,430,121
1.02PM,18,8.5-9,3,3,3.5,NILL,157.5,875,1417.5,0.61,48.61,48.61,3.21,340,120
1.07PM,66,"5,6,7,8,9",3.5,3,3,NILL,490,2567,5145,0.49,38.89,77.78,0.929,440,123.3
1.06PM,64,15,4,3,3,2/1m,960,4800,11520,0.41,75,150,4.06,390,134
12.50PM,40,6,4,3,3,NILL,240,1000,2880,0.34,25.02,25.02,2.29,380,127
1.06PM,35,3,3,2.8,2.5,NILL,105,150,882,0.17,4.28,8.56,1.02,340,122
1.06PM,20,3,3,2.8,2.5,NILL,60,50,504,0.09,2.5,5,1.02,340,122
1.15PM,15,15,3.5,3,4,"1/1m,1/1.5m",225,1208.34,2362.5,0.51,80.55,80.55,NA,NA,NA
1.03PM,35,8.5,4,3,3,NILL,297.5,1225,3570,0.34,35,70,1.83,360,124.9
1.11PM,9,15,3.5,3,3,2/1m,135,625,1417.5,0.44,69.44,69.44,0.913,430,107.9
1.09PM,79,"11,12,14",4,3,3.5,2/1m,972.94,4100,11675.36,0.35,51.89,103.79,0.119,480,120.9
1.11PM,68,15,4.2,3.2,3,"1/1m,1/1.5m",1020,4271.22,13708.8,0.311,62.82,125.61,8.49,260,118
1.08PM,22,15,3.8,3.3,3,2/1m,345,1500,4138.2,0.36,68.1,136.36,2.67,290,112
1.10PM,15,8,3.5,3,3,2/1m,144,575,1260,0.41,38.33,76.66,2.16,300,127
1.39PM,58,15,3.6,3.2,2.5,2/1m,870,5675,10022.4,0.56,97.8,195.6,3.64,320,125
1.17PM,50,5,3.2,2.8,3,NILL,250,1000,2240,0.44,20,40,2.1,230,117.7
1.22PM,90,15,3.6,3.2,2.5,2/1m,1350,7525,15552,0.48,83.61,167.22,10.2,280,131.4
1.24PM,59,"3,5,12,15",3.8,3.3,4,2/1m,573,2300,7185.42,0.32,38.98,77.96,1.79,380,129
1.11PM,20,15,3.5,3,3.5,2/1.5m,480,1275,3150,0.4,63.75,127.5,4.06,250,124
1.16PM,95,9,3.2,2.8,3,NILL,855,4600,7660.8,0.6,48.42,96.84,0.405,360,109.2
1.06PM,20,3,2.5,2,2.5,NILL,60,75,300,0.25,3.75,7.5,1.21,420,100.1
1.06PM,40,6,3.2,2.8,3,NILL,240,850,2150.4,0.39,21.25,42.5,1.21,420,100.1
1.14PM,17,3.5,3,2.5,2.5,NILL,59.5,100,446.25,0.22,5.88,11.76,NA,390,NA
1.28PM,70,15,3.6,3.2,2.5,2/1m,1050,4925,12096,0.4,70.35,140.7,4.19,350,112
